,SMILES,logS,Processed_SMILES
5109,CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,-2.9864,CCC(=O)NC1=CC=C(Cl)C(Cl)=C1
5136,CC(C)OP(=O)(OC(C)C)SCC1=CC=CC=C1,-2.8579,CC(C)OP(=O)(OC(C)C)SCC1=CC=CC=C1
1462,CC(=O)CC(=O)OCCOC(=O)C(C)=C,-1.0636822045,C=C(C)C(=O)OCCOC(=O)CC(C)=O
3790,COP(=O)(OC)OC(C)=CC(=O)OC(C)C1=CC=CC=C1,-2.4973,COP(=O)(OC)OC(C)=CC(=O)OC(C)C1=CC=CC=C1
6665,ClC=C(Cl)Cl,-1.96,ClC=C(Cl)Cl
6615,CCCCCCCC(C)O,-2.744,CCCCCCCC(C)O
2720,NC(=O)N(CCO)N=CC1=CC=C(O1)[N+]([O-])=O,-2.6852,NC(=O)N(CCO)N=CC1=CC=C([N+](=O)[O-])O1
4177,ClC1=CC2=C(OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3O2)C(Cl)=C1Cl,-11.4795,ClC1=CC2=C(OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3O2)C(Cl)=C1Cl
6656,C1CC2=C3C1=CC=CC3=CC=C2,-4.63,C1=CC2=CC=CC3=C2C(=C1)CC3
1010,CC1=CC=C(O)C=C1,-0.7015479053,CC1=CC=C(O)C=C1
7399,ClC1=CC=C(C=C1)S(=O)(=O)[N-]S(=O)(=O)C1=CC=C(Cl)C=C1,-2.48,O=S(=O)([N-]S(=O)(=O)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
2874,OCC1OC(C(O)C1O)N1C=NC2=CN=CN=C12,-0.4018,OCC1OC(N2C=NC3=CN=CN=C32)C(O)C1O
1153,[O-]P(=O)=O,0.6893014740000001,O=P(=O)[O-]
5286,OC1=CC=CC([O-])=C1[N+]([O-])=O,-2.0734,O=[N+]([O-])C1=C([O-])C=CC=C1O
3149,CC(=O)CC[C-]1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,-3.2676,CC(=O)CC[C-]1C(=O)N(C2=CC=CC=C2)N(C2=CC=CC=C2)C1=O
4841,CCC1=CC=CC=C1O,-1.3594,CCC1=CC=CC=C1O
6123,OC1=CC=CC(NC2=CC=CC=C2C([O-])=O)=C1,-3.54,O=C([O-])C1=CC=CC=C1NC1=CC(O)=CC=C1
2203,CCCCCCCCCCCCCC(=O)OCC(O)CO,-7.397875398099999,CCCCCCCCCCCCCC(=O)OCC(O)CO
1900,CCCCCCCCCCOS([O-])(=O)=O,0.1029880533,CCCCCCCCCCOS(=O)(=O)[O-]
6152,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=[NH+]CCN1,-2.6,C1=CC=C(CN(CC2=[NH+]CCN2)C2=CC=CC=C2)C=C1
2235,BrC1=CNC(=O)NC1=O,-2.3698,O=C1NC=C(Br)C(=O)N1
454,ClCCOP(=O)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl,-3.4001753553,O=P(OCCCl)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl
2032,CC1=CC(=C(O)C(C)=C1CN1C(=O)N(CC2=C(C)C=C(C(O)=C2C)C(C)(C)C)C(=O)N(CC2=C(C)C=C(C(O)=C2C)C(C)(C)C)C1=O)C(C)(C)C,-7.5440264742,CC1=CC(C(C)(C)C)=C(O)C(C)=C1CN1C(=O)N(CC2=C(C)C=C(C(C)(C)C)C(O)=C2C)C(=O)N(CC2=C(C)C=C(C(C)(C)C)C(O)=C2C)C1=O
3796,COC(=O)C=C(C)OP(=O)(OC)OC,0.4276,COC(=O)C=C(C)OP(=O)(OC)OC
5916,CNC(=O)NC(=O)C(C)(C(=O)OCOC)C1=CCCCC1,-2.42,CNC(=O)NC(=O)C(C)(C(=O)OCOC)C1=CCCCC1
3920,CC1=CN=NC2=C(O)C=CC=C12,-2.6783,CC1=CN=NC2=C(O)C=CC=C12
2382,CC(C)C1=CC(Cl)=C(C)C=C1O,-2.2664,CC1=C(Cl)C=C(C(C)C)C(O)=C1
6266,ClC1=CC=C(OC2=C(Cl)C(Cl)=C(Cl)C=C2Cl)C=C1,-7.77,ClC1=CC=C(OC2=C(Cl)C(Cl)=C(Cl)C=C2Cl)C=C1
2036,CCCCCCCCCCCCCCCCOC(C)=O,-7.397152994400001,CCCCCCCCCCCCCCCCOC(C)=O
1404,CC1=CC=C(C=C1[N+]([O-])=O)C(=O)NC1=CC=C(C=C1)S([O-])(=O)=O,-1.232035998,CC1=CC=C(C(=O)NC2=CC=C(S(=O)(=O)[O-])C=C2)C=C1[N+](=O)[O-]
3895,[O-]C(=O)CSSSSCC([O-])=O,-1.452,O=C([O-])CSSSSCC(=O)[O-]
2295,CC1C[NH2+]1,1.2434,CC1C[NH2+]1
2415,OC1=CC=C(Cl)C(Cl)=C1,-1.2458,OC1=CC=C(Cl)C(Cl)=C1
539,CCCCCC(C=O)=CC1=CC=CC=C1,-3.0466584175,CCCCCC(C=O)=CC1=CC=CC=C1
4813,CCC1=CC=C(C)C=C1,-3.1026,CCC1=CC=C(C)C=C1
1091,C1N2CN3CN1CN(C2)C3,0.7924026819,C1N2CN3CN1CN(C2)C3
4223,COC1=CC(C=O)=C(C)C=C1O,-2.7435,COC1=CC(C=O)=C(C)C=C1O
1004,OC1=CC(=CC=C1N=NC1=C(O)C(=CC2=CC(=CC=C12)S([O-])(=O)=O)S([O-])(=O)=O)C1=CC=C(N=NC2=C([O-])C(=CC3=CC(=CC=C23)S([O-])(=O)=O)S([O-])(=O)=O)C(O)=C1,-1.6074287478,O=S(=O)([O-])C1=CC=C2C(=C1)C=C(S(=O)(=O)[O-])C([O-])=C2N=NC1=CC=C(C2=CC=C(N=NC3=C(O)C(S(=O)(=O)[O-])=CC4=CC(S(=O)(=O)[O-])=CC=C43)C(O)=C2)C=C1O
1497,CN1C(=O)N(C)C(=O)C(NC=O)=C1N,-1.1831208545999998,CN1C(=O)C(NC=O)=C(N)N(C)C1=O
2662,[O-]C(=O)CC1(CC([O-])=O)OCOC1=O,-0.611,O=C([O-])CC1(CC(=O)[O-])OCOC1=O
4321,ClC1=CC(Cl)=C(C(Cl)=C1)C1=C(Cl)C=CC=C1Cl,-7.316,ClC1=CC(Cl)=C(C2=C(Cl)C=CC=C2Cl)C(Cl)=C1
3083,[O-]C(=O)C1=CCCCC1,-1.2558,O=C([O-])C1=CCCCC1
2808,CC(C)[NH2+]CC(O)COC1=CC=CC2=CC=CC=C12,-3.6202,CC(C)[NH2+]CC(O)COC1=CC=CC2=CC=CC=C21
5866,OC(C([O-])=O)C(Cl)(Cl)Cl,0.36,O=C([O-])C(O)C(Cl)(Cl)Cl
4526,ON=C1C=CC(=NO)C2=NC=CC=C12,-3.7998,ON=C1C=CC(=NO)C2=NC=CC=C12
1430,CCOP([O-])(=O)CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,-2.4616735699000003,CCOP(=O)([O-])CC1=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C1
5673,CN1C(C)=NC=C1[N+]([O-])=O,-1.16,CC1=NC=C([N+](=O)[O-])N1C
6350,CC[NH+]1CCN(CC1)C1=CC2=C(C=C1F)C(=O)C(=CN2C1CC1)C([O-])=O,-3.18,CC[NH+]1CCN(C2=CC3=C(C=C2F)C(=O)C(C(=O)[O-])=CN3C2CC2)CC1
7291,[O-]C(=O)CCCCCN1C=CC=CC1=O,-0.64,O=C([O-])CCCCCN1C=CC=CC1=O
5617,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,-1.27,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
7318,CC1=CC=C2CN(CC3CCCC1=C23)C(N)=[NH+]O,-1.2,CC1=CC=C2CN(C(N)=[NH+]O)CC3CCCC1=C23
2812,[O-]C1=CC=C(C=C1C(=O)C(=O)C1=CC(=CC=C1[O-])[N+]([O-])=O)[N+]([O-])=O,-3.5214,O=C(C(=O)C1=CC([N+](=O)[O-])=CC=C1[O-])C1=CC([N+](=O)[O-])=CC=C1[O-]
1232,[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.8645162178,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1994,CCCCCCCC(=O)NCCCCC([NH3+])C([O-])=O,0.0575708237,CCCCCCCC(=O)NCCCCC([NH3+])C(=O)[O-]
6631,CC(C(C)C([O-])=O)C([O-])=O,-0.688,CC(C(=O)[O-])C(C)C(=O)[O-]
5783,COP(=S)(OC)OC1=C(Cl)C=C(C=C1)[N+]([O-])=O,-4.68,COP(=S)(OC)OC1=C(Cl)C=C([N+](=O)[O-])C=C1
3457,OC1=C(N=O)C2=CC=CC=C2C=C1,-2.9374,O=NC1=C(O)C=CC2=CC=CC=C21
211,CC1=C(C=O)C(C)(C)CC=C1,-2.4650077569,CC1=C(C=O)C(C)(C)CC=C1
4955,N1N=NC2=CC=CC=C12,-0.7794,C1=CC=C2NN=NC2=C1
1194,CCCCOCC(C)O,-0.4052379668,CCCCOCC(C)O
7320,NC(=[NH+]O)N1CC2CCCC3=C2C(C1)=CC=C3,-1.35,NC(=[NH+]O)N1CC2=C3C(=CC=C2)CCCC3C1
3472,CCC([NH3+])C([O-])=O,0.2868,CCC([NH3+])C(=O)[O-]
6723,CC(=O)NC1=CC=C(N)C=C1,-0.98,CC(=O)NC1=CC=C(N)C=C1
7726,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,-3.17,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl
7856,C1CC[NH+]2CC3CC(C[NH+]4CCCCC34)C2C1,-1.8871,C1CC[NH+]2CC3CC(C[NH+]4CCCCC34)C2C1
5850,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,-6.24,CC(C)N=C1C=C2C(=NC3=C(C=CC=C3)N2C2=CC=C(Cl)C=C2)C=C1NC1=CC=C(Cl)C=C1
2368,CN(C)C(=O)OC1=CC(C)=NN1C1=CC=CC=C1,-2.0886,CC1=NN(C2=CC=CC=C2)C(OC(=O)N(C)C)=C1
4499,CC(OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3N=C2)C=C1)C([O-])=O,-6.0604,CC(OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3N=C2)C=C1)C(=O)[O-]
4480,ClC1=CC(Cl)=C(C(Cl)=C1Cl)C1=CC(Cl)=C(Cl)C(Cl)=C1,-9.1,ClC1=CC(C2=C(Cl)C=C(Cl)C(Cl)=C2Cl)=CC(Cl)=C1Cl
1487,CC1=NN(C(=O)C1N=NC1=CC=CC=C1C([O-])=O)C1=CC=C(C=C1)S([O-])(=O)=O,-1.491314993,CC1=NN(C2=CC=C(S(=O)(=O)[O-])C=C2)C(=O)C1N=NC1=CC=CC=C1C(=O)[O-]
7969,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,-8.4024,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
7079,CC(=O)NC1=CC=C2N=C(SC2=C1)S(N)(=O)=O,-3.16,CC(=O)NC1=CC=C2N=C(S(N)(=O)=O)SC2=C1
3914,ON(C(=O)C1=CC=C(Cl)C=C1Cl)C1=CC=CC=C1,-3.6723,O=C(C1=CC=C(Cl)C=C1Cl)N(O)C1=CC=CC=C1
3723,CC=CC(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1,-2.9196,CC=CC(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1
2591,CC(=O)CC(C)(C)O,0.9349,CC(=O)CC(C)(C)O
8021,NC(=O)NN=CC1=CC=C(O1)[N+]([O-])=O,-2.98,NC(=O)NN=CC1=CC=C([N+](=O)[O-])O1
1345,CC(C)OC(C)C,-1.5165927583,CC(C)OC(C)C
7573,ClC1=CC=C(C(Cl)=C1)C1=C(Cl)C=CC(Cl)=C1Cl,-7.43,ClC1=CC=C(C2=C(Cl)C=CC(Cl)=C2Cl)C(Cl)=C1
6174,CCCC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C,-1.53,CCCC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C
5574,CCCC(=O)OCN1N=CC2=C1N=CN(COC(=O)CCC)C2=O,-3.83,CCCC(=O)OCN1C=NC2=C(C=NN2COC(=O)CCC)C1=O
1167,O=C1OC(=O)C2=CC=CC=C12,-1.3644249332,O=C1OC(=O)C2=CC=CC=C12
5,FC1=CC=C(C=C1)C(=O)C1=CC=C(F)C=C1,-4.396652184700001,O=C(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1
3912,CCOC(=O)CC1(C)CCC(=O)O1,-0.7472,CCOC(=O)CC1(C)CCC(=O)O1
6579,CC(=O)C1=C(O)C(C)=C(O)C2=C1OC1=CC(=O)C(C(C)=O)=C([O-])C21C,-3.537,CC(=O)C1=C(O)C(C)=C(O)C2=C1OC1=CC(=O)C(C(C)=O)=C([O-])C12C
3142,CC1CC(OC(C)=O)OC(C)O1,0.759,CC(=O)OC1CC(C)OC(C)O1
4919,CCCCCCCCl,-3.9957,CCCCCCCCl
113,C(CC1=CC=CC=C1)OC1CCCCC1,-2.4180900548,C1=CC=C(CCOC2CCCCC2)C=C1
2659,CCCCCC[NH2+]CCCCCC,-3.1574,CCCCCC[NH2+]CCCCCC
6982,[O-]C(=O)CSC(=S)OCC1=CC=CC=C1,-2.68,O=C([O-])CSC(=S)OCC1=CC=CC=C1
2263,O=NN1CCOCC1,0.9351,O=NN1CCOCC1
975,[O-]S(=O)(=O)CCCN1CCOCC1,0.4557825074,O=S(=O)([O-])CCCN1CCOCC1
378,CC1=CC=C(NC2=CC(C([O-])=O)=C([NH2+]C3=CC=C(C)C=C3)C=C2C([O-])=O)C=C1,-5.0705134819,CC1=CC=C(NC2=CC(C(=O)[O-])=C([NH2+]C3=CC=C(C)C=C3)C=C2C(=O)[O-])C=C1
420,CC1=CC(C=CC1=N)=C(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,-2.1054831912,CC1=CC(=C(C2=CC=C(N)C=C2)C2=CC=C(N)C=C2)C=CC1=N
2781,CC=CC([O-])=O,1.065,CC=CC(=O)[O-]
7791,COC1=CC=C(C=CC)C=C1,-3.13,CC=CC1=CC=C(OC)C=C1
4673,COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C([O-])=O,-1.84,COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(C(=O)[O-])=C1
3705,CCCCCCCCCCNC(=O)C(C)O,-3.3605,CCCCCCCCCCNC(=O)C(C)O
5868,[NH3+]C1CO[N-]C1=O,-0.01,[NH3+]C1CO[N-]C1=O
2605,OCC(CO)(CO)COCC(CO)(CO)CO,-1.9582,OCC(CO)(CO)COCC(CO)(CO)CO
7182,CCCCCCCOC(=O)C1=CC(Cl)=C(O)C=C1,-4.23,CCCCCCCOC(=O)C1=CC(Cl)=C(O)C=C1
6649,CC1=CC=C(C)C(C)=C1,-3.31,CC1=CC=C(C)C(C)=C1
5159,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,-3.9528,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O
5969,NC1=C2[N-]C=NC2=NC(=O)N1,-3.38,NC1=C2[N-]C=NC2=NC(=O)N1
1616,[O-]C(=O)C1=CC(=CC(=C1)C([O-])=O)[N+]([O-])=O,-2.178419855,O=C([O-])C1=CC(C(=O)[O-])=CC([N+](=O)[O-])=C1
964,FC1=CC=C(C=C1)C(=O)C1CC[NH2+]CC1,0.5890195686999999,O=C(C1=CC=C(F)C=C1)C1CC[NH2+]CC1
3624,CCOP(=S)(OCC)N1C(=O)C2=CC=CC=C2C1=O,-3.3522,CCOP(=S)(OCC)N1C(=O)C2=CC=CC=C2C1=O
6900,CC(SSC(C)C([O-])=O)C([O-])=O,-0.62,CC(SSC(C)C(=O)[O-])C(=O)[O-]
7368,CCCCN(C)N=NC1=CC=C(C=C1)C([O-])=O,-1.81,CCCCN(C)N=NC1=CC=C(C(=O)[O-])C=C1
1552,CC(C)(O)C#C,1.0751110617,C#CC(C)(C)O
1026,NC1=CC=C(NN=C2C=CC3=C(C=CC=C3S([O-])(=O)=O)C2=O)C=C1,-1.2915600389,NC1=CC=C(NN=C2C=CC3=C(C=CC=C3S(=O)(=O)[O-])C2=O)C=C1
2405,CC(C)OC(=O)COC1=CC=C(Cl)C=C1Cl,-3.848,CC(C)OC(=O)COC1=CC=C(Cl)C=C1Cl
5890,CC1=CC(C([O-])=O)=C(C)C=C1,-2.92,CC1=CC(C(=O)[O-])=C(C)C=C1
6933,CCCCCCCCOC(=O)C(C)OC(C)=O,-3.39,CCCCCCCCOC(=O)C(C)OC(C)=O
6087,C1CC2=CC=C3CCCC4=C3C2=C(C1)C=C4,-5.96,C1=CC2=C3C(=CC=C4CCCC1=C43)CCC2
7300,CCCN1C=C(C([O-])=O)C(=O)C2=C1C=C(N1CC[NH2+]CC1)C(F)=C2,-3.57,CCCN1C=C(C(=O)[O-])C(=O)C2=C1C=C(N1CC[NH2+]CC1)C(F)=C2
4854,CC(C)C([O-])=O,0.2777,CC(C)C(=O)[O-]
2666,[O-]S(=O)(=O)OCCOC1=CC=C(Cl)C=C1Cl,-0.0601,O=S(=O)([O-])OCCOC1=CC=C(Cl)C=C1Cl
8042,CC(=O)OC1(CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O,-5.35,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
1470,CCCCOP([O-])(=O)OCCCC,-1.0872511921,CCCCOP(=O)([O-])OCCCC
3248,CCCCCCCCCCCCCCCCCO,-7.506,CCCCCCCCCCCCCCCCCO
4328,COC1=C(O)C=C(Cl)C(Cl)=C1Cl,-2.8712,COC1=C(O)C=C(Cl)C(Cl)=C1Cl
1329,COC1=CC(CC(=C(C)O)C(C)=O)=CC=C1O,-1.7863659491,COC1=CC(CC(C(C)=O)=C(C)O)=CC=C1O
1939,OCC(O)COCC(O)CO,0.7794395395,OCC(O)COCC(O)CO
5753,CC(C)(C)C(=O)OCN1C=C2C(NC=NC2=O)=N1,-2.17,CC(C)(C)C(=O)OCN1C=C2C(=O)N=CNC2=N1
6970,COC(=O)C1=CC=C(C=C1)[N+]([O-])=O,-3.04,COC(=O)C1=CC=C([N+](=O)[O-])C=C1
2035,O=C1N2C3=C4C(C=CC=C4N=C2C2=CC=CC4=CC=CC1=C24)=CC=C3,-7.204596088300001,O=C1C2=CC=CC3=CC=CC(=C32)C2=NC3=CC=CC4=CC=CC(=C43)N12
7583,CC1=CC=CC=C1Br,-2.23,CC1=CC=CC=C1Br
7491,CCCC(CCC)C(=O)NCCCC([O-])=O,-1.5,CCCC(CCC)C(=O)NCCCC(=O)[O-]
2347,CC(C)(C)C(=O)[C-]1C(=O)C2=CC=CC=C2C1=O,-4.107,CC(C)(C)C(=O)[C-]1C(=O)C2=CC=CC=C2C1=O
7556,CC(C)C1OC(O)C(CC2=CC=CC=C2)NC1=O,-2.28,CC(C)C1OC(O)C(CC2=CC=CC=C2)NC1=O
1392,CC(=O)NC1=CC=C(N=NC2=C3C([O-])=CC(=CC3=CC=C2N)S([O-])(=O)=O)C(=C1)C(F)(F)F,-1.3288181975,CC(=O)NC1=CC=C(N=NC2=C(N)C=CC3=CC(S(=O)(=O)[O-])=CC([O-])=C32)C(C(F)(F)F)=C1
5643,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,-4.74,CC1=CC=C(C2=CC(C(F)(F)F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1
6218,CCCN1CC(C)N2C(=O)C3=C(C=CC=C3)N=C2C1C,-2.24,CCCN1CC(C)N2C(=O)C3=C(C=CC=C3)N=C2C1C
4915,CCCCCBr,-3.0753,CCCCCBr
2476,ClCCBr,-1.3177,ClCCBr
6994,CC(=NO)C(=NO)C1=CC=CC=C1,-2.3,CC(=NO)C(=NO)C1=CC=CC=C1
3517,NC1=NC(Cl)=NC(N)=N1,-2.3849,NC1=NC(N)=NC(Cl)=N1
5550,CCOC1=CC=C2N=C(SC2=C1)S(N)(=O)=O,-4.03,CCOC1=CC=C2N=C(S(N)(=O)=O)SC2=C1
4474,ClC1=CC=C(C=C1)C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-7.3102,ClC1=CC=C(C2=CC(Cl)=C(Cl)C(Cl)=C2Cl)C=C1
1678,CCOC(=O)C(C)CC,-2.3364163689,CCOC(=O)C(C)CC
6472,NS(=O)(=O)C1=CC=C(NC2=CC=NC([N-]S(=O)(=O)CC3=CC=CC=C3)=N2)C=C1,-2.7,NS(=O)(=O)C1=CC=C(NC2=CC=NC([N-]S(=O)(=O)CC3=CC=CC=C3)=N2)C=C1
4938,CCCCCCCCC(C)=O,-3.3085,CCCCCCCCC(C)=O
3588,CC(=O)CC1CCCC[NH2+]1,-0.4509,CC(=O)CC1CCCC[NH2+]1
2040,CCCCCCCCCCCCS,-7.573831768200001,CCCCCCCCCCCCS
6080,CNC(=O)N(C)C1=NN=C(S1)C(C)(C)CCl,-2.47,CNC(=O)N(C)C1=NN=C(C(C)(C)CCl)S1
4541,CC(OC1=CC=C(Cl)C(C)=C1Cl)C(=O)NC1=CC=CC=C1,-7.0057,CC1=C(Cl)C(OC(C)C(=O)NC2=CC=CC=C2)=CC=C1Cl
262,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3,-3.7259038203,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3
5481,COC(=O)CS(=O)(=O)C1=CC=C(Br)C=C1,-2.48,COC(=O)CS(=O)(=O)C1=CC=C(Br)C=C1
1992,CC1=C(C#N)C(=O)N(CCC([O-])=O)C(O)=C1,-1.4436540675999998,CC1=C(C#N)C(=O)N(CCC(=O)[O-])C(O)=C1
7978,CC1=C(F)C(F)=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C(F)=C1F,-7.3209,CC1=C(F)C(F)=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C(F)=C1F
4290,[NH3+]C(C(=O)NC1C2SCC(Cl)=C(N2C1=O)C([O-])=O)C1=CC=CC=C1,-1.5656,[NH3+]C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Cl)CSC12)C1=CC=CC=C1
2626,CC1=CC(O)=C(Cl)C(C)=C1Cl,-2.9801,CC1=CC(O)=C(Cl)C(C)=C1Cl
4111,CC(C)CNC(=O)N1CCNC1=O,-2.1538,CC(C)CNC(=O)N1CCNC1=O
6866,CC(=O)NC1=CC2=C(COC2=O)C=C1,-2.6,CC(=O)NC1=CC2=C(C=C1)COC2=O
1741,[O-]S(=O)(=O)C1=CC(NC2=NC(NC3=CC=CC=C3)=NC(NC3=CC=CC=C3)=N2)=CC=C1C=CC1=CC=C(NC2=NC(NC3=CC=CC=C3)=NC(NC3=CC=CC=C3)=N2)C=C1S([O-])(=O)=O,-3.8255874528,O=S(=O)([O-])C1=CC(NC2=NC(NC3=CC=CC=C3)=NC(NC3=CC=CC=C3)=N2)=CC=C1C=CC1=CC=C(NC2=NC(NC3=CC=CC=C3)=NC(NC3=CC=CC=C3)=N2)C=C1S(=O)(=O)[O-]
1169,NC1=C(C=C(C2=CC(=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)S([O-])(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S([O-])(=O)=O,-2.0301800533,NC1=C(S(=O)(=O)[O-])C=C(C2=CC(S(=O)(=O)[O-])=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)C2=C1C(=O)C1=CC=CC=C1C2=O
6803,[O-]C(=O)C1=CC=C(Cl)C=C1,-3.31,O=C([O-])C1=CC=C(Cl)C=C1
3078,CN(C)C(=O)N(C)C,0.9349,CN(C)C(=O)N(C)C
7665,CCN1C2=CC=CC=C2OC2=CC=CC=C2C1=O,-3.68,CCN1C(=O)C2=CC=CC=C2OC2=CC=CC=C21
5226,OCC(C([O-])=O)C1=CC=CC=C1,-0.9305,O=C([O-])C(CO)C1=CC=CC=C1
3541,CC1=CC2=C(C=CC=C2)C2=C1C1=C(C=CC=C1)C=C2,-6.5920000000000005,CC1=CC2=C(C=CC=C2)C2=C1C1=C(C=CC=C1)C=C2
1932,CC(O)C[NH+](CCC[NH+](C)C)CCC[NH+](C)C,0.6101059749000001,CC(O)C[NH+](CCC[NH+](C)C)CCC[NH+](C)C
1111,CC1=CC(O)=CC=C1O,-0.2074175173999999,CC1=CC(O)=CC=C1O
4341,CC(N(C(=O)C1=CC=CC=C1)C1=CC=C(F)C(Cl)=C1)C([O-])=O,-4.2474,CC(C(=O)[O-])N(C(=O)C1=CC=CC=C1)C1=CC=C(F)C(Cl)=C1
7070,CCCC(C)CC1(CCO)C(=O)NC(=S)NC1=O,-3.09,CCCC(C)CC1(CCO)C(=O)NC(=S)NC1=O
5598,CCOC1=CC=C(NS(=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O)C=C1,-4.72,CCOC1=CC=C(NS(=O)(=O)C2=CC=C([N+](=O)[O-])C=C2)C=C1
2859,CCCCI,-2.9587,CCCCI
2587,N(NC1=CC=CC=C1)C1=CC=CC=C1,-2.9210000000000003,C1=CC=C(NNC2=CC=CC=C2)C=C1
4095,ON(C(=O)C1=CC=CC2=CC=CC=C12)C1=CC=CC=C1,-3.9433,O=C(C1=CC=CC2=CC=CC=C21)N(O)C1=CC=CC=C1
1339,NC1=NC(N)=[NH+]C(N)=N1,-1.5592150485,NC1=NC(N)=[NH+]C(N)=N1
2467,CCCCCCCC(=O)OCC,-3.3907,CCCCCCCC(=O)OCC
7690,CCl,-0.88,CCl
4466,CC1=CC(C)=NC(=N1)C(N)=O,0.1216,CC1=CC(C)=NC(C(N)=O)=N1
2818,C=C(C1=CC=CC=C1)C1=CC=CC=C1,-4.4363,C=C(C1=CC=CC=C1)C1=CC=CC=C1
6426,CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(OC(=O)C1=CC=C(OC2=CC=CC=C2)C=C1)C#C,-6.84,C#CC1(OC(=O)C2=CC=C(OC3=CC=CC=C3)C=C2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
6194,N#CC(=N[N-]C1=CC=C(C=C1)N=NC1=CC=CC=C1)C#N,-4.92,N#CC(C#N)=N[N-]C1=CC=C(N=NC2=CC=CC=C2)C=C1
3534,[NH3+]C(C(O)C(O)C(O)CO)C([O-])=O,-0.8590000000000001,[NH3+]C(C(=O)[O-])C(O)C(O)C(O)CO
2148,CC(C)(C)C1=CC(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,-8.6670954079,CC(C)(C)C1=CC(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCC2=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C2)=CC(C(C)(C)C)=C1O
3060,OCCCCl,0.4223,OCCCCl
2940,C(=CC1=CC=CC=C1)C1=CC=CC=C1,-5.7905,C1=CC=C(C=CC2=CC=CC=C2)C=C1
